batch,celltype
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch2,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,pDC
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch2,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
Batch1,DoubleNeg
